,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL
123,Viva la Vida/X&Y; [2011],Coldplay,Twisted Logic,4:31,/lyric/24835414/Coldplay/Twisted+Logic,http://www.lyrics.com/lyric/24835414/Coldplay/Twisted+Logic
124,Atlas [2013],Coldplay,Atlas,3:56,/lyric/29877982/Coldplay/Atlas,http://www.lyrics.com/lyric/29877982/Coldplay/Atlas
125,A Sky Full of Stars [2014],Coldplay,All Your Friends,3:31,/lyric/31245485/Coldplay/All+Your+Friends,http://www.lyrics.com/lyric/31245485/Coldplay/All+Your+Friends
126,A Sky Full of Stars [2014],Coldplay,Ghost Story,4:17,/lyric/31245488/Coldplay/Ghost+Story,http://www.lyrics.com/lyric/31245488/Coldplay/Ghost+Story
127,A Sky Full of Stars [2014],Coldplay,A  Sky Full of Stars [Radio Edit],3:56,/lyric/31245486/Coldplay/A++Sky+Full+of+Stars+%5BRadio+Edit%5D,http://www.lyrics.com/lyric/31245486/Coldplay/A++Sky+Full+of+Stars+%5BRadio+Edit%5D
128,Ghost Stories [2014],Coldplay,Always In My Head,3:36,/lyric/30715564/Coldplay/Always+In+My+Head,http://www.lyrics.com/lyric/30715564/Coldplay/Always+In+My+Head
129,Ghost Stories [2014],Coldplay,Another's Arms,3:54,/lyric/30715560/Coldplay/Another%27s+Arms,http://www.lyrics.com/lyric/30715560/Coldplay/Another%27s+Arms
130,Ghost Stories [2014],Coldplay,Ink,3:48,/lyric/30715562/Coldplay/Ink,http://www.lyrics.com/lyric/30715562/Coldplay/Ink
131,Ghost Stories [2014],Coldplay,Magic,4:45,/lyric/30715563/Coldplay/Magic,http://www.lyrics.com/lyric/30715563/Coldplay/Magic
132,Ghost Stories [2014],Coldplay,Midnight,4:54,/lyric/30715565/Coldplay/Midnight,http://www.lyrics.com/lyric/30715565/Coldplay/Midnight
133,Ghost Stories [2014],Coldplay,O,7:46,/lyric/30715557/Coldplay/O,http://www.lyrics.com/lyric/30715557/Coldplay/O
134,Ghost Stories [2014],Coldplay,Oceans,5:21,/lyric/30715559/Coldplay/Oceans,http://www.lyrics.com/lyric/30715559/Coldplay/Oceans
135,Ghost Stories [2014],Coldplay,A  Sky Full of Stars,4:28,/lyric/30715558/Coldplay/A++Sky+Full+of+Stars,http://www.lyrics.com/lyric/30715558/Coldplay/A++Sky+Full+of+Stars
136,Ghost Stories [2014],Coldplay,True Lovew/ Davide Rossi,4:05,/lyric/30715561/Coldplay/True+Love,http://www.lyrics.com/lyric/30715561/Coldplay/True+Love
137,Ghost Stories Live 2014 [CD/DVD] [2014],Coldplay,"Always in My Head [Live at the Royal Albert Hall, London]",3:57,/lyric/31493846/Coldplay/Always+in+My+Head+%5BLive+at+the+Royal+Albert+Hall%2C+London%5D,http://www.lyrics.com/lyric/31493846/Coldplay/Always+in+My+Head+%5BLive+at+the+Royal+Albert+Hall%2C+London%5D
138,Ghost Stories Live 2014 [CD/DVD] [2014],Coldplay,"Another's Arms [Live at the Beacon Theatre, New York]",3:55,/lyric/31493841/Coldplay/Another%27s+Arms+%5BLive+at+the+Beacon+Theatre%2C+New+York%5D,http://www.lyrics.com/lyric/31493841/Coldplay/Another%27s+Arms+%5BLive+at+the+Beacon+Theatre%2C+New+York%5D
139,A Head Full of Dreams [2015],Coldplay,Adventure of a Lifetime,4:23,/lyric/32348544/Coldplay/Adventure+of+a+Lifetime,http://www.lyrics.com/lyric/32348544/Coldplay/Adventure+of+a+Lifetime
140,A Head Full of Dreams [2015],Coldplay,Amazing Day,4:31,/lyric/32348540/Coldplay/Amazing+Day,http://www.lyrics.com/lyric/32348540/Coldplay/Amazing+Day
141,A Head Full of Dreams [2015],Coldplay,Army of One,6:16,/lyric/32348541/Coldplay/Army+of+One,http://www.lyrics.com/lyric/32348541/Coldplay/Army+of+One
142,A Head Full of Dreams [2015],Coldplay,Birds,3:49,/lyric/32348547/Coldplay/Birds,http://www.lyrics.com/lyric/32348547/Coldplay/Birds
143,A Head Full of Dreams [2015],Coldplay,Colour Spectrum,1:00,/lyric/32348539/Coldplay/Colour+Spectrum,http://www.lyrics.com/lyric/32348539/Coldplay/Colour+Spectrum
144,A Head Full of Dreams [2015],Coldplay,Everglow,4:42,/lyric/32348545/Coldplay/Everglow,http://www.lyrics.com/lyric/32348545/Coldplay/Everglow
145,A Head Full of Dreams [2015],Coldplay,Funw/ Tove Lo,4:27,/lyric/32348543/Coldplay/Fun,http://www.lyrics.com/lyric/32348543/Coldplay/Fun
146,A Head Full of Dreams [2015],Coldplay,A Head Full of Dreams,3:43,/lyric/32348548/Coldplay/A+Head+Full+of+Dreams,http://www.lyrics.com/lyric/32348548/Coldplay/A+Head+Full+of+Dreams
147,A Head Full of Dreams [2015],Coldplay,Hymn for the Weekend,4:18,/lyric/32348546/Coldplay/Hymn+for+the+Weekend,http://www.lyrics.com/lyric/32348546/Coldplay/Hymn+for+the+Weekend
148,A Head Full of Dreams [2015],Coldplay,Kaleidoscope,1:51,/lyric/32348542/Coldplay/Kaleidoscope,http://www.lyrics.com/lyric/32348542/Coldplay/Kaleidoscope
149,A Head Full of Dreams [2015],Coldplay,Up & Up,6:45,/lyric/32348538/Coldplay/Up+%26+Up,http://www.lyrics.com/lyric/32348538/Coldplay/Up+%26+Up
150,Head Full of Dreams [Japanese Tour Edition] [2015],Coldplay,Miracles [*],3:54,/lyric/34021677/Coldplay/Miracles+%5B%2A%5D,http://www.lyrics.com/lyric/34021677/Coldplay/Miracles+%5B%2A%5D
151,Hymn for the Weekend [2015],Coldplay,Hymn for the Weekend [SeeB Remix]w/ SeeB,3:32,/lyric/32928138/Coldplay/Hymn+for+the+Weekend+%5BSeeB+Remix%5D,http://www.lyrics.com/lyric/32928138/Coldplay/Hymn+for+the+Weekend+%5BSeeB+Remix%5D
152,Kaleidoscope [2017],Coldplay,Hypnotised [EP Mix],6:31,/lyric/34189022/Coldplay/Hypnotised+%5BEP+Mix%5D,http://www.lyrics.com/lyric/34189022/Coldplay/Hypnotised+%5BEP+Mix%5D
153,Kaleidoscope [2017],Coldplay,All I Can Think About Is You,4:34,/lyric/33800867/Coldplay/All+I+Can+Think+About+Is+You,http://www.lyrics.com/lyric/33800867/Coldplay/All+I+Can+Think+About+Is+You
154,Kaleidoscope [2017],Coldplay,Hypnotised,5:55,/lyric/33800863/Coldplay/Hypnotised,http://www.lyrics.com/lyric/33800863/Coldplay/Hypnotised
155,Kaleidoscope [2017],Coldplay,A  L I E N S,4:42,/lyric/33800865/Coldplay/A++L+I+E+N+S,http://www.lyrics.com/lyric/33800865/Coldplay/A++L+I+E+N+S
156,Kaleidoscope [2017],Coldplay,Miracles (Someone Special),4:36,/lyric/33800866/Coldplay/Miracles+%28Someone+Special%29,http://www.lyrics.com/lyric/33800866/Coldplay/Miracles+%28Someone+Special%29
157,Kaleidoscope [2017],Coldplay,Something Just Like This [Tokyo Remix],4:34,/lyric/33800864/Coldplay/Something+Just+Like+This+%5BTokyo+Remix%5D,http://www.lyrics.com/lyric/33800864/Coldplay/Something+Just+Like+This+%5BTokyo+Remix%5D
158,Something Just Like This [2017],Coldplay,Something Just Like Thisw/ The Chainsmokers, ,/lyric/33821572/Coldplay/Something+Just+Like+This,http://www.lyrics.com/lyric/33821572/Coldplay/Something+Just+Like+This
